176	Hf	5.2	175941407.6	2.19
177	Hf	18.6	176943227.7	2.031
178	Hf	27.1	177943705.8	2.029
179	Hf	13.74	178945823.2	2.028
180	Ta	0.012	179947464.8	2.445
180	W	0.13	179946710.8	2.043
180	Hf	35.2	179946557	2.032
181	Ta	99.99	180947995.8	1.979
182	W	26.3	181948203.9	0.905
183	W	14.3	182950222.7	0.903
184	W	30.67	183950930.9	0.942
184	Os	0.02	183952488.5	1.441
185	Re	37.4	184952954.5	1.326
186	W	28.6	185954362.8	1.655
186	Os	1.58	185953835	1.596
187	Re	62.6	186955750.1	1.609
187	Os	1.6	186955747.4	1.609
188	Os	13.3	187955835.2	1.616
189	Os	16.1	188958144.2	1.694
190	Pt	0.01	189959929.7	6.263
190	Os	26.4	189958443.7	1.705
191	Ir	37.3	190960589.3	2.063
192	Os	41	191961477	2.926
192	Pt	0.79	191961038.7	3.225
193	Ir	62.7	192962921.6	2.074
194	Pt	32.9	193962680.9	1.003
195	Pt	33.8	194964791.7	0.995
196	Hg	0.15	195965832.6	3.172
196	Pt	25.3	195964952.1	0.985
197	Au	100	196966568.8	0.705
198	Hg	10.1	197966768.6	0.515
198	Pt	7.2	197967894.9	2.324
199	Hg	17	198968280.6	0.457
200	Hg	23.1	199968326.6	0.467
201	Hg	13.2	200970302.8	0.693
202	Hg	29.65	201970643.4	0.692
203	Tl	29.52	202972344.6	1.363
204	Hg	6.8	203973494	0.527
204	Pb	1.4	203973044	1.333
205	Tl	70.48	204974427.8	1.426
206	Pb	24.1	205974465.7	1.329
207	Pb	22.1	206975897.3	1.332
208	Pb	52.4	207976652.5	1.333
209	Bi	100	208980399.1	1.553
232	Th	100	232038055.8	2.092
234	U	0.006	234040952.3	1.923
235	U	0.72	235043930.1	1.92
238	U	99.27	238050788.4	2.019
