92	Y	1.24E-03	91908945.14	9.882
93	Br	2.53E-03	92943134	483
93	Kr	1.30E-01	92931147.17	2.7
93	Rb	5.03E-01	92922039.27	8.406
93	Sr	2.36E-01	92914024.23	8.112
93	Y	1.07E-02	92909577.89	11.351
93	Zr	4.25E-05	92906469.95	1.952
93	Nb	0.00E+00	92906373	1.958
94	Se	2.35E-07	93960490	860
94	Br	3.58E-04	93948900	430
94	Kr	4.89E-02	93934140.45	13
94	Rb	4.54E-01	93926394.81	2.177
94	Sr	5.47E-01	93915355.6	1.785
94	Y	5.96E-02	93911590.58	6.938
94	Zr	6.61E-04	93906310.83	2.019
95	Kr	1.10E-02	94939710.92	20
95	Rb	2.68E-01	94929260	21.696
95	Sr	7.67E-01	94919352.94	6.323
95	Y	1.98E-01	94912816.06	7.396
95	Zr	5.87E-03	94908038.53	1.94
95	Nb	9.12E-06	94906832.4	0.709
95	Mo	1.78E-09	94905838.77	0.473
96	Kr	1.98E-03	95943016.62	22
96	Rb	1.27E-01	95934133.38	3.599
96	Sr	8.88E-01	95921706.58	9.328
96	Y	5.45E-02	95915896.84	6.852
96	Zr	0.00E+00	95908271.43	2.141
96	Nb	0.00E+00	95908097.29	3.467
96	Mo	0.00E+00	95904676.12	0.473
97	Kr	1.99E-04	96949088.79	140
97	Rb	3.44E-02	96937177.14	2.052
97	Sr	6.02E-01	96926373.96	3.644
97	Y	8.70E-01	96918274.11	7.507
97	Zr	1.66E-01	96910951.21	2.126
97	Nb	1.76E-03	96908095.93	1.892
98	Kr	1.72E-05	97952430	320
98	Rb	8.20E-03	97941686.87	3.7
98	Sr	3.71E-01	97928688.78	3.964
98	Y-m	6.43E-01	97922640.4	10
98	Y	6.43E-01	97922382.12	8.767
98	Zr	5.87E-01	97912728.89	9.314
98	Nb	1.62E-02	97910326.46	5.779
99	Sr	1.35E-01	98932890.67	3.824
99	Y	1.15E+00	98924147.98	7.424
99	Zr	1.25E+00	98916666.75	11.358
99	Nb-m	1.07E-03	98912004.9	10
99	Nb	9.33E-03	98911613.18	12.931
99	Mo	1.14E-03	98907708.51	0.517
99	Tc	5.48E-07	98906250.84	1.037
100	Kr	2.69E-08	99962370	430
100	Rb	1.05E-04	99950030	210
100	Sr	3.52E-02	99935769.69	10.237
100	Y	7.78E-01	99927714.69	12.198
100	Zr	2.06E+00	99918000.58	8.9
100	Nb-m	2.85E-01	99914663.38	10
100	Nb	2.85E-01	99914327.59	8.837
100	Mo	1.48E-02	99907471.78	1.124
100	Tc	2.53E-05	99907653.88	1.492
101	Sr	5.66E-03	100940351.7	86.247
101	Y	3.36E-01	100930147.7	7.915
101	Zr	2.20E+00	100921448	9.117
101	Nb	1.30E+00	100915310.3	4.16
101	Mo	8.93E-02	100910341.4	1.127
101	Tc	4.46E-04	100907309.1	25.79
101	Ru	1.90E-07	100905576.9	1.154
101	Rh	0.00E+00	100906160.6	6.286
102	Sr	4.78E-04	101943791	75.275
102	Y	8.26E-02	101934327.7	4.378
102	Zr	1.45E+00	101923140.9	9.663
102	Nb	2.04E+00	101918077.2	3.5
102	Mo	4.64E-01	101910283.4	9.108
102	Tc	2.94E-03	101909209.7	9.866
102	Ru	7.61E-06	101904344.1	1.155
103	Y	1.78E-02	102937243	12.028
103	Zr	8.43E-01	102927190.7	10.154
103	Nb	3.06E+00	102919457.2	4.359
103	Mo	1.47E+00	102913078.6	10.154
103	Tc	5.66E-02	102909176.1	10.55
103	Ru	1.31E-04	102906318.6	1.165
103	Rh	0.00E+00	102905498	2.61
104	Sr	1.08E-06	103952650	320
104	Y	1.64E-03	103941960	430
104	Zr	2.24E-01	103929435.7	10.256
104	Nb	2.15E+00	103922892.5	3.688
104	Mo	2.83E+00	103913734.4	9.819
104	Tc	4.31E-01	103911424.9	26.765
104	Ru	3.14E-03	103905427.5	2.755
105	Zr	3.91E-02	104934008.2	13.202
105	Nb	9.99E-01	104924946.5	4.461
105	Mo	3.02E+00	104916968.6	9.98
105	Tc	2.10E+00	104911654.9	37.881
105	Ru	6.83E-02	104907747.6	2.756
105	Rh	5.53E-05	104905688.5	2.694
