N	Z	A	El	mass	m_err
133	91	224	Pa	224025617.21	8.145
132	92	224	U	224027613.974	24.875
131	93	224	Np	224034220.0	210.0
141	84	225	Po	225037070.0	320.0
140	85	225	At	225032630.0	320.0
139	86	225	Rn	225028485.574	11.958
138	87	225	Fr	225025572.478	12.847
137	88	225	Ra	225023610.574	2.787
136	89	225	Ac	225023228.647	5.107
135	90	225	Th	225023950.907	5.467
134	91	225	Pa	225026130.844	76.234
133	92	225	U	225029393.555	11.711
132	93	225	Np	225033910.797	76.889
142	84	226	Po	226040310.0	430.0
141	85	226	At	226037160.0	320.0
140	86	226	Rn	226030861.382	11.247
139	87	226	Fr	226029544.515	6.688
138	88	226	Ra	226025408.455	2.075
137	89	226	Ac	226026097.069	3.328
136	90	226	Th	226024903.686	4.81
135	91	226	Pa	226027947.872	12.259
134	92	226	U	226029338.749	13.955
133	93	226	Np	226035188.0	95.0
143	84	227	Po	227045390.0	430.0
142	85	227	At	227040240.0	320.0
141	86	227	Rn	227035304.396	15.127
140	87	227	Fr	227031865.417	6.332
139	88	227	Ra	227029176.474	2.095
138	89	227	Ac	227027750.666	2.068
137	90	227	Th	227027702.618	2.241
136	91	227	Pa	227028804.477	7.965
135	92	227	U	227031181.587	10.419
134	93	227	Np	227034956.832	77.838
133	94	227	Pu	227039474.0	107.0
143	85	228	At	228044750.0	430.0
142	86	228	Rn	228037835.418	18.977
141	87	228	Fr	228035839.437	7.226
140	88	228	Ra	228031068.657	2.142
139	89	228	Ac	228031019.767	2.247
138	90	228	Th	228028739.835	1.94
137	91	228	Pa	228031050.748	4.659
136	92	228	U	228031371.351	15.409
135	93	228	Np	228036066.462	54.291
134	94	228	Pu	228038741.387	31.286
144	85	229	At	229048120.0	430.0
143	86	229	Rn	229042257.276	14.0
142	87	229	Fr	229038291.455	5.368
141	88	229	Ra	229034956.707	16.576
140	89	229	Ac	229032947.0	13.0
139	90	229	Th	229031761.431	2.581
138	91	229	Pa	229032095.652	3.521
137	92	229	U	229033505.909	6.374
136	93	229	Np	229036263.974	93.235
135	94	229	Pu	229040145.819	54.939
134	95	229	Am	229045249.909	93.772
144	86	230	Rn	230045140.0	210.0
143	87	230	Fr	230042390.791	7.022
142	88	230	Ra	230037054.78	11.053
141	89	230	Ac	230036327.0	17.0
140	90	230	Th	230033132.358	1.299
139	91	230	Pa	230034539.789	3.261
138	92	230	U	230033940.102	4.841
137	93	230	Np	230037827.716	55.059
136	94	230	Pu	230039650.703	15.913
135	95	230	Am	230046089.0	143.0
145	86	231	Rn	231049870.0	320.0
144	87	231	Fr	231045175.357	8.3
143	88	231	Ra	231041027.086	12.206
142	89	231	Ac	231038393.0	14.0
141	90	231	Th	231036302.853	1.308
140	91	231	Pa	231035882.575	1.902
139	92	231	U	231036292.252	2.866
138	93	231	Np	231038244.49	54.264
137	94	231	Pu	231041126.41	24.206
136	95	231	Am	231045529.0	322.0
135	96	231	Cm	231050746.0	322.0
145	87	232	Fr	232049461.224	15.0
144	88	232	Ra	232043475.27	9.823
143	89	232	Ac	232042034.0	14.0
142	90	232	Th	232038053.689	1.526
141	91	232	Pa	232038590.3	8.207
140	92	232	U	232037154.86	1.942
139	93	232	Np	232040107.0	107.0
138	94	232	Pu	232041184.526	18.888
137	95	232	Am	232046527.0	322.0
136	96	232	Cm	232049718.0	217.0
146	87	233	Fr	233052517.838	21.0
145	88	233	Ra	233047594.573	9.235
144	89	233	Ac	233044346.0	14.0
143	90	233	Th	233041580.208	1.529
142	91	233	Pa	233040246.605	1.434
141	92	233	U	233039634.367	2.42
140	93	233	Np	233040739.489	54.729
139	94	233	Pu	233042997.345	54.054
138	95	233	Am	233046445.0	109.0
137	96	233	Cm	233050772.206	76.809
136	97	233	Bk	233056748.0	240.0
146	88	234	Ra	234050382.104	9.0
145	89	234	Ac	234048139.0	15.0
144	90	234	Th	234043599.86	2.779
143	91	234	Pa	234043305.615	4.395
142	92	234	U	234040950.37	1.213
141	93	234	Np	234042893.32	9.014
140	94	234	Pu	234043317.478	7.298
139	95	234	Am	234047731.0	170.0
138	96	234	Cm	234050160.959	18.673
137	97	234	Bk	234057387.0	153.0
147	88	235	Ra	235054890.0	322.0
146	89	235	Ac	235050840.0	15.0
145	90	235	Th	235047255.0	14.0
144	91	235	Pa	235045399.0	15.0
143	92	235	U	235043928.19	1.199
142	93	235	Np	235044061.591	1.491
141	94	235	Pu	235045284.682	22.03
140	95	235	Am	235047907.371	56.03
139	96	235	Cm	235051567.0	216.0
138	97	235	Bk	235056580.0	430.0
147	89	236	Ac	236054988.0	41.0
146	90	236	Th	236049657.0	15.0
145	91	236	Pa	236048668.0	15.0
144	92	236	U	236045566.201	1.194
143	93	236	Np	236046568.392	54.129
142	94	236	Pu	236046056.756	1.944
141	95	236	Am	236049427.0	120.0
140	96	236	Cm	236051374.506	19.662
139	97	236	Bk	236057480.0	430.0
148	89	237	Ac	237057993.0	429.0
147	90	237	Th	237053629.0	17.0
146	91	237	Pa	237051023.0	14.0
145	92	237	U	237048728.38	1.291
144	93	237	Np	237048171.71	1.202
143	94	237	Pu	237048407.957	1.822
142	95	237	Am	237049995.0	64.0
141	96	237	Cm	237052868.923	76.178
140	97	237	Bk	237057100.0	241.0
139	98	237	Cf	237062199.993	93.706
148	90	238	Th	238056388.0	304.0
147	91	238	Pa	238054637.0	17.0
146	92	238	U	238050786.996	1.602
145	93	238	Np	238050944.671	1.221
144	94	238	Pu	238049558.25	1.222
143	95	238	Am	238051982.607	54.428
142	96	238	Cm	238053081.595	13.133
141	97	238	Bk	238058203.0	274.0
140	98	238	Cf	238061490.0	320.0
149	90	239	Th	239060602.0	429.0
148	91	239	Pa	239057260.0	210.0
147	92	239	U	239054292.048	1.613
146	93	239	Np	239052937.599	1.407
145	94	239	Pu	239052161.669	1.195
144	95	239	Am	239053022.803	2.128
143	96	239	Cm	239054908.593	58.022
142	97	239	Bk	239058240.0	222.0
141	98	239	Cf	239062554.0	224.0
140	99	239	Es	239068230.0	320.0
149	91	240	Pa	240061095.0	215.0
148	92	240	U	240056592.425	2.74
147	93	240	Np	240056163.83	18.284
146	94	240	Pu	240053811.812	1.187
145	95	240	Am	240055298.444	14.849
144	96	240	Cm	240055528.329	2.046
143	97	240	Bk	240059758.0	161.0
142	98	240	Cf	240062255.842	20.075
141	99	240	Es	240068920.0	430.0
150	91	241	Pa	241064026.0	322.0
149	92	241	U	241060330.0	210.0
148	93	241	Np	241058250.697	75.92
147	94	241	Pu	241056849.722	1.187
146	95	241	Am	241056827.413	1.195
145	96	241	Cm	241057651.288	1.726
144	97	241	Bk	241060153.0	215.0
143	98	241	Cf	241063690.0	178.0
142	99	241	Es	241068560.0	242.0
141	100	241	Fm	241074210.0	320.0
150	92	242	U	242062931.0	215.0
149	93	242	Np	242061639.615	214.713
148	94	242	Pu	242058741.045	1.336
147	95	242	Am	242059547.428	1.2
146	96	242	Cm	242058834.263	1.225
145	97	242	Bk	242061980.0	215.0
144	98	242	Cf	242063754.533	13.84
143	99	242	Es	242069567.0	275.0
142	100	242	Fm	242073430.0	430.0
151	92	243	U	243066946.0	322.0
150	93	243	Np	243064279.0	34.0
149	94	243	Pu	243062002.119	2.728
148	95	243	Am	243061379.94	1.49
147	96	243	Cm	243061387.403	1.606
146	97	243	Bk	243063005.98	4.857
145	98	243	Cf	243065475.0	123.0
144	99	243	Es	243069509.0	222.0
143	100	243	Fm	243074490.0	231.0
151	93	244	Np	244067850.0	320.0
150	94	244	Pu	244064204.415	2.518
149	95	244	Am	244064282.964	1.601
148	96	244	Cm	244062750.694	1.188
147	97	244	Bk	244065179.039	15.457
146	98	244	Cf	244065999.543	2.81
145	99	244	Es	244070881.0	195.0
144	100	244	Fm	244074038.0	216.0
152	93	245	Np	245070736.0	322.0
151	94	245	Pu	245067824.568	14.621
150	95	245	Am	245066452.89	2.025
149	96	245	Cm	245065491.113	1.234
148	97	245	Bk	245066359.885	1.924
147	98	245	Cf	245068046.825	2.606
146	99	245	Es	245071247.0	215.0
145	100	245	Fm	245075349.0	209.0
144	101	245	Md	245080808.0	328.0
152	94	246	Pu	246070204.209	16.087
151	95	246	Am	246069774.0	19.0
150	96	246	Cm	246067222.082	1.638
149	97	246	Bk	246068671.367	64.433
148	98	246	Cf	246068803.762	1.626
147	99	246	Es	246072894.0	240.0
146	100	246	Fm	246075350.815	16.46
145	101	246	Md	246081713.0	278.0
153	94	247	Pu	247074190.0	210.0
152	95	247	Am	247072092.0	107.0
151	96	247	Cm	247070352.726	4.076
150	97	247	Bk	247070305.94	5.57
149	98	247	Cf	247070965.462	16.461
148	99	247	Es	247073621.932	20.87
147	100	247	Fm	247076944.0	123.0
146	101	247	Md	247081521.0	222.0
153	95	248	Am	248075752.0	215.0
152	96	248	Cm	248072349.101	2.531
151	97	248	Bk	248073087.0	76.0
150	98	248	Cf	248072182.978	5.497
149	99	248	Es	248075469.0	56.0
148	100	248	Fm	248077185.528	9.122
147	101	248	Md	248082822.0	255.0
146	102	248	No	248086550.0	241.0
154	95	249	Am	249078480.0	320.0
153	96	249	Cm	249075954.006	2.545
152	97	249	Bk	249074983.182	1.34
151	98	249	Cf	249074850.491	1.27
150	99	249	Es	249076409.0	32.0
149	100	249	Fm	249078926.098	6.668
148	101	249	Md	249082912.0	216.0
147	102	249	No	249087797.0	300.0
154	96	250	Cm	250078357.556	11.029
153	97	250	Bk	250078315.027	3.992
152	98	250	Cf	250076404.561	1.651
151	99	250	Es	250078611.0	107.0
150	100	250	Fm	250079519.828	8.468
149	101	250	Md	250084413.0	323.0
148	102	250	No	250087562.0	215.0
155	96	251	Cm	251082285.036	24.367
154	97	251	Bk	251080760.603	11.523
153	98	251	Cf	251079587.219	4.187
152	99	251	Es	251079992.224	6.434
151	100	251	Fm	251081539.889	16.32
150	101	251	Md	251084774.291	20.31
149	102	251	No	251088942.0	123.0
148	103	251	Lr	251094180.0	320.0
156	96	252	Cm	252084870.0	320.0
155	97	252	Bk	252084310.0	215.0
154	98	252	Cf	252081626.523	2.531
153	99	252	Es	252082979.189	53.736
152	100	252	Fm	252082464.972	5.902
151	101	252	Md	252086432.0	140.0
150	102	252	No	252088966.141	9.975
149	103	252	Lr	252095263.0	255.0
156	97	253	Bk	253086880.0	385.0
155	98	253	Cf	253085133.738	4.57
154	99	253	Es	253084821.305	1.341
153	100	253	Fm	253085181.16	3.148
152	101	253	Md	253087143.0	34.0
151	102	253	No	253090562.831	7.42
150	103	253	Lr	253095089.0	217.0
149	104	253	Rf	253100438.0	440.0
157	97	254	Bk	254090600.0	320.0
156	98	254	Cf	254087323.59	12.304
155	99	254	Es	254088020.527	4.304
154	100	254	Fm	254086852.726	2.591
153	101	254	Md	254089590.0	107.0
152	102	254	No	254090954.259	10.367
151	103	254	Lr	254096481.0	323.0
150	104	254	Rf	254100053.0	304.0
157	98	255	Cf	255091047.0	215.0
156	99	255	Es	255090273.553	11.612
155	100	255	Fm	255089962.633	4.607
154	101	255	Md	255091082.787	7.035
153	102	255	No	255093191.404	16.0
152	103	255	Lr	255096562.404	19.0
151	104	255	Rf	255101267.0	123.0
150	105	255	Db	255106918.0	385.0
158	98	256	Cf	256093442.0	338.0
157	99	256	Es	256093599.0	108.0
156	100	256	Fm	256091773.878	6.012
155	101	256	Md	256093888.0	132.0
154	102	256	No	256094280.866	8.312
153	103	256	Lr	256098494.029	89.0
152	104	256	Rf	256101151.535	19.16
151	105	256	Db	256107889.0	258.0
158	99	257	Es	257095979.0	441.0
157	100	257	Fm	257095105.317	4.815
156	101	257	Md	257095537.977	1.718
155	102	257	No	257096884.419	7.169
154	103	257	Lr	257099480.0	47.0
153	104	257	Rf	257102916.848	11.612
152	105	257	Db	257107576.0	218.0
159	99	258	Es	258099520.0	430.0
158	100	258	Fm	258097077.0	215.0
157	101	258	Md	258098429.825	4.743
156	102	258	No	258098205.0	107.0
155	103	258	Lr	258101753.0	109.0
154	104	258	Rf	258103426.362	34.317
153	105	258	Db	258109284.0	328.0
152	106	258	Sg	258112984.0	443.0
159	100	259	Fm	259100596.0	304.0
158	101	259	Md	259100510.0	215.0
157	102	259	No	259100997.503	7.073
156	103	259	Lr	259102901.0	76.0
155	104	259	Rf	259105596.0	78.0
154	105	259	Db	259109491.865	56.94
153	106	259	Sg	259114353.0	123.0
160	100	260	Fm	260102809.0	467.0
159	101	260	Md	260103653.0	340.0
158	102	260	No	260102643.0	215.0
157	103	260	Lr	260105504.0	133.0
156	104	260	Rf	260106439.0	215.0
155	105	260	Db	260111297.0	100.0
154	106	260	Sg	260114383.508	22.045
153	107	260	Bh	260121658.0	263.0
160	101	261	Md	261105828.0	546.0
159	102	261	No	261105696.0	215.0
158	103	261	Lr	261106880.0	215.0
157	104	261	Rf	261108769.99	54.153
156	105	261	Db	261111980.0	118.0
155	106	261	Sg	261115948.188	19.853
154	107	261	Bh	261121454.0	224.0
161	101	262	Md	262109101.0	537.0
160	102	262	No	262107463.0	387.0
159	103	262	Lr	262109611.0	215.0
158	104	262	Rf	262109923.0	240.0
157	105	262	Db	262114068.0	154.0
156	106	262	Sg	262116335.446	38.015
155	107	262	Bh	262122965.0	328.0
161	102	263	No	263110714.0	526.0
160	103	263	Lr	263111358.0	304.0
159	104	263	Rf	263112460.0	164.0
158	105	263	Db	263114988.0	181.0
157	106	263	Sg	263118294.0	102.0
156	107	263	Bh	263122916.0	327.0
155	108	263	Hs	263128480.0	134.0
162	102	264	No	264112734.0	634.0
161	103	264	Lr	264114200.0	468.0
160	104	264	Rf	264113878.0	387.0
159	105	264	Db	264117405.0	253.0
158	106	264	Sg	264118929.0	304.0
157	107	264	Bh	264124593.0	190.0
156	108	264	Hs	264128356.405	31.005
162	103	265	Lr	265116193.0	587.0
161	104	265	Rf	265116683.0	387.0
160	105	265	Db	265118608.0	240.0
159	106	265	Sg	265121090.0	132.0
158	107	265	Bh	265124977.0	251.0
157	108	265	Hs	265129791.799	25.719
156	109	265	Mt	265135995.0	484.0
163	103	266	Lr	266119831.0	626.0
162	104	266	Rf	266118172.0	504.0
161	105	266	Db	266121028.0	304.0
160	106	266	Sg	266121973.0	263.0
159	107	266	Bh	266126790.0	175.0
158	108	266	Hs	266130045.252	41.54
157	109	266	Mt	266137373.0	329.0
163	104	267	Rf	267121787.0	617.0
162	105	267	Db	267122464.0	443.0
161	106	267	Sg	267124322.0	276.0
160	107	267	Bh	267127500.0	282.0
159	108	267	Hs	267131673.0	103.0
158	109	267	Mt	267137189.0	540.0
157	110	267	Ds	267143726.0	145.0
164	104	268	Rf	268123968.0	711.0
163	105	268	Db	268125671.0	568.0
162	106	268	Sg	268125392.0	504.0
161	107	268	Bh	268129691.0	409.0
160	108	268	Hs	268131863.0	304.0
159	109	268	Mt	268138649.0	250.0
158	110	268	Ds	268143477.0	324.0
164	105	269	Db	269127911.0	669.0
163	106	269	Sg	269128570.0	391.0
162	107	269	Bh	269130412.0	402.0
161	108	269	Hs	269133725.0	133.0
160	109	269	Mt	269138884.0	497.0
159	110	269	Ds	269144751.021	33.712
165	105	270	Db	270131302.0	662.0
164	106	270	Sg	270130426.0	598.0
163	107	270	Bh	270133362.0	308.0
162	108	270	Hs	270134314.0	266.0
161	109	270	Mt	270140323.0	183.0
160	110	270	Ds	270144583.09	51.542
165	106	271	Sg	271133932.0	628.0
164	107	271	Bh	271135182.0	446.0
163	108	271	Hs	271137135.0	301.0
162	109	271	Mt	271140742.0	354.0
161	110	271	Ds	271145946.0	104.0
166	106	272	Sg	272135890.0	781.0
165	107	272	Bh	272138261.0	571.0
164	108	272	Hs	272138494.0	547.0
163	109	272	Mt	272143406.0	521.0
162	110	272	Ds	272146018.0	443.0
161	111	272	Rg	272153273.0	251.0
167	106	273	Sg	273139580.0	540.0
166	107	273	Bh	273140240.0	743.0
165	108	273	Hs	273141590.0	394.0
164	109	273	Mt	273144620.0	455.0
163	110	273	Ds	273148531.0	144.0
162	111	273	Rg	273153189.0	565.0
167	107	274	Bh	274143513.0	664.0
166	108	274	Hs	274143303.0	635.0
165	109	274	Mt	274147339.0	380.0
164	110	274	Ds	274149434.0	418.0
163	111	274	Rg	274155249.0	190.0
168	107	275	Bh	275145670.0	640.0
167	108	275	Hs	275146667.0	631.0
166	109	275	Mt	275149039.0	449.0
165	110	275	Ds	275151976.0	441.0
164	111	275	Rg	275155981.0	557.0
168	108	276	Hs	276148455.0	810.0
167	109	276	Mt	276151708.0	571.0
166	110	276	Ds	276153024.0	588.0
165	111	276	Rg	276158333.0	675.0
164	112	276	Cn	276161410.0	640.0
169	108	277	Hs	277151899.0	581.0
168	109	277	Mt	277153483.0	751.0
167	110	277	Ds	277155815.0	412.0
166	111	277	Rg	277159247.0	558.0
165	112	277	Cn	277163611.0	153.0
169	109	278	Mt	278156454.0	666.0
168	110	278	Ds	278157146.0	671.0
167	111	278	Rg	278161587.0	383.0
166	112	278	Cn	278164179.0	470.0
165	113	278	Ed	278170574.0	198.0
170	109	279	Mt	279158343.0	716.0
169	110	279	Ds	279160093.0	642.0
168	111	279	Rg	279162937.0	452.0
167	112	279	Cn	279166432.0	490.0
166	113	279	Ed	279170950.0	750.0
170	110	280	Ds	280161590.0	838.0
169	111	280	Rg	280165203.0	571.0
168	112	280	Cn	280167147.0	626.0
167	113	280	Ed	280172991.0	429.0
171	110	281	Ds	281164715.0	622.0
170	111	281	Rg	281166718.0	865.0
169	112	281	Cn	281169641.0	416.0
168	113	281	Ed	281173710.0	322.0
171	111	282	Rg	282169405.0	702.0
170	112	282	Cn	282170668.0	704.0
169	113	282	Ed	282175766.0	387.0
172	111	283	Rg	283170995.0	748.0
171	112	283	Cn	283173362.0	653.0
170	113	283	Ed	283176820.0	468.0
172	112	284	Cn	284174499.0	865.0
171	113	284	Ed	284178843.0	573.0
170	114	284	Fl	284181344.0	704.0
173	112	285	Cn	285177321.0	624.0
172	113	285	Ed	285180066.0	866.0
171	114	285	Fl	285183579.0	419.0
173	113	286	Ed	286182518.0	704.0
172	114	286	Fl	286184406.0	705.0
174	113	287	Ed	287183840.0	778.0
173	114	287	Fl	287186875.0	655.0
172	115	287	Ef	287190978.0	471.0
174	114	288	Fl	288187916.0	865.0
173	115	288	Ef	288192992.0	576.0
175	114	289	Fl	289190623.0	626.0
174	115	289	Ef	289193953.0	868.0
173	116	289	Lv	289198099.0	529.0
175	115	290	Ef	290196345.0	706.0
174	116	290	Lv	290198818.0	708.0
176	115	291	Ef	291197522.0	842.0
175	116	291	Lv	291201169.0	658.0
174	117	291	Eh	291205906.0	637.0
176	116	292	Lv	292202086.0	865.0
175	117	292	Eh	292207812.0	718.0
177	116	293	Lv	293204691.0	629.0
176	117	293	Eh	293208680.0	870.0
175	118	293	Ei	293213498.0	753.0
177	117	294	Eh	294210974.0	708.0
176	118	294	Ei	294214132.0	712.0
177	118	295	Ei	295216332.0	692.0
